Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_ALL	GO:0005615~extracellular space	35	24.137931034482758	5.987439714263005E-10	33963_AT, 33530_AT, 33684_AT, 33284_AT, 31525_S_AT, 35915_AT, 35367_AT, 37061_AT, 679_AT, 35090_G_AT, 34012_AT, 35091_AT, 34618_AT, 31506_S_AT, 33979_AT, 38604_AT, 37454_AT, 31793_AT, 38691_S_AT, 1403_S_AT, 33516_AT, 32250_AT, 37905_R_AT, 34623_AT, 37172_AT, 1645_AT, 1786_AT, 34546_AT, 31512_AT, 37096_AT, 36703_AT, 1890_AT, 37898_R_AT, 31687_F_AT, 2090_I_AT, 1372_AT, 37105_AT, 36436_AT	134	1444	18224	3.296398891966759	2.0776412679168743E-7	2.0776412679168743E-7	8.178414501180953E-7
GOTERM_BP_ALL	GO:0009605~response to external stimulus	42	28.965517241379313	1.047588454048321E-8	33963_AT, 33684_AT, 35648_AT, 33284_AT, 34467_G_AT, 35367_AT, 1910_S_AT, 39469_S_AT, 37061_AT, 37711_AT, 32073_AT, 679_AT, 822_S_AT, 37983_AT, 39698_AT, 31506_S_AT, 39094_AT, 33979_AT, 1974_S_AT, 32439_AT, 38604_AT, 38236_AT, 37454_AT, 31793_AT, 35595_AT, 1403_S_AT, 1112_G_AT, 1331_S_AT, 32250_AT, 1901_S_AT, 37172_AT, 36766_AT, 34623_AT, 34546_AT, 31512_AT, 37096_AT, 36703_AT, 34720_AT, 40317_AT, 1419_G_AT, 40790_AT, 1372_AT, 37105_AT, 36436_AT	133	2073	16792	2.5580013710107394	3.403556967362942E-5	3.403556967362942E-5	1.9031132880709123E-5
GOTERM_BP_ALL	GO:0044364~disruption of cells of other organism	7	4.827586206896552	1.0704706123262075E-7	33963_AT, 37096_AT, 679_AT, 31793_AT, 1419_G_AT, 31506_S_AT, 37105_AT, 34623_AT, 34546_AT	133	30	16792	29.459649122807015	3.47735446513453E-4	1.7388284087793693E-4	1.9446808138257055E-4
GOTERM_BP_ALL	GO:0031640~killing of cells of other organism	7	4.827586206896552	1.0704706123262075E-7	33963_AT, 37096_AT, 679_AT, 31793_AT, 1419_G_AT, 31506_S_AT, 37105_AT, 34623_AT, 34546_AT	133	30	16792	29.459649122807015	3.47735446513453E-4	1.7388284087793693E-4	1.9446808138257055E-4
GOTERM_BP_ALL	GO:0050896~response to stimulus	95	65.51724137931035	3.391522006450466E-7	38103_AT, 37968_AT, 39469_S_AT, 33293_AT, 35090_G_AT, 1974_S_AT, 40350_AT, 35595_AT, 1112_G_AT, 37905_R_AT, 1901_S_AT, 36766_AT, 37172_AT, 34546_AT, 34720_AT, 1890_AT, 37898_R_AT, 40790_AT, 36436_AT, 966_AT, 33963_AT, 32717_AT, 37408_AT, 36317_AT, 37983_AT, 34249_AT, 606_AT, 37953_S_AT, 32439_AT, 38604_AT, 32680_AT, 38229_AT, 32084_AT, 41489_AT, 1331_S_AT, 36378_AT, 33371_S_AT, 40317_AT, 31687_F_AT, 1419_G_AT, 32279_AT, 37954_AT, 40959_AT, 34629_AT, 35648_AT, 33284_AT, 35915_AT, 1355_G_AT, 1855_AT, 37711_AT, 32073_AT, 1575_AT, 41280_R_AT, 39511_AT, 936_S_AT, 33979_AT, 38236_AT, 37454_AT, 34636_AT, 32418_AT, 33516_AT, 1403_S_AT, 32250_AT, 1645_AT, 1786_AT, 31512_AT, 37096_AT, 40271_AT, 919_AT, 1372_AT, 37105_AT, 34436_AT, 33530_AT, 33684_AT, 32148_AT, 31525_S_AT, 34467_G_AT, 35367_AT, 40186_AT, 35373_AT, 37061_AT, 1910_S_AT, 679_AT, 822_S_AT, 34618_AT, 35091_AT, 39698_AT, 31506_S_AT, 39094_AT, 38945_AT, 33080_S_AT, 31793_AT, 967_G_AT, 35169_AT, 34623_AT, 36703_AT, 2090_I_AT, 39187_AT, 37166_AT	133	8329	16792	1.4400631185359245	0.001101298811646445	3.6723444851383125E-4	6.16122905328087E-4
GOTERM_BP_ALL	GO:0050832~defense response to fungus	7	4.827586206896552	5.550742603125527E-7	37096_AT, 679_AT, 38604_AT, 31793_AT, 33284_AT, 31506_S_AT, 37105_AT, 34623_AT, 34546_AT	133	39	16792	22.661268556005396	0.0018018115573853466	4.5075757135282224E-4	0.0010083771576963052
GOTERM_BP_ALL	GO:0009620~response to fungus	7	4.827586206896552	3.569420496877946E-6	37096_AT, 679_AT, 38604_AT, 31793_AT, 33284_AT, 31506_S_AT, 37105_AT, 34623_AT, 34546_AT	133	53	16792	16.675273088381328	0.011530081099996647	0.0023167258170685434	0.006484229640224548
GOTERM_BP_ALL	GO:0006950~response to stress	53	36.55172413793103	3.915005000184993E-6	34629_AT, 38103_AT, 33284_AT, 37968_AT, 37711_AT, 32073_AT, 33293_AT, 41280_R_AT, 33979_AT, 1974_S_AT, 38236_AT, 34636_AT, 35595_AT, 37454_AT, 33516_AT, 1403_S_AT, 1112_G_AT, 32250_AT, 37905_R_AT, 1901_S_AT, 37172_AT, 1786_AT, 34546_AT, 31512_AT, 37096_AT, 40271_AT, 37898_R_AT, 919_AT, 1372_AT, 37105_AT, 966_AT, 33963_AT, 33684_AT, 31525_S_AT, 35367_AT, 40186_AT, 35373_AT, 1910_S_AT, 679_AT, 822_S_AT, 37983_AT, 39698_AT, 31506_S_AT, 39094_AT, 38945_AT, 38604_AT, 32680_AT, 31793_AT, 967_G_AT, 1331_S_AT, 34623_AT, 36703_AT, 31687_F_AT, 40317_AT, 1419_G_AT, 37954_AT	133	3677	16792	1.8198392363830433	0.012639320434866153	0.002117733788364995	0.007111999324893592
GOTERM_CC_ALL	GO:0044421~extracellular region part	52	35.86206896551724	5.1035916388396655E-6	38646_S_AT, 31621_S_AT, 33284_AT, 35915_AT, 39908_AT, 35090_G_AT, 35956_S_AT, 36234_AT, 1575_AT, 33979_AT, 37454_AT, 1403_S_AT, 33516_AT, 1112_G_AT, 32250_AT, 37905_R_AT, 37172_AT, 1645_AT, 36766_AT, 1786_AT, 34546_AT, 31512_AT, 37096_AT, 1890_AT, 37898_R_AT, 1372_AT, 37105_AT, 36436_AT, 33963_AT, 33530_AT, 33684_AT, 31525_S_AT, 35367_AT, 37061_AT, 679_AT, 34012_AT, 34618_AT, 35091_AT, 1391_S_AT, 31506_S_AT, 38604_AT, 32680_AT, 38691_S_AT, 31793_AT, 32084_AT, 35169_AT, 36378_AT, 34623_AT, 36703_AT, 36328_AT, 32413_AT, 31687_F_AT, 38508_S_AT, 2090_I_AT, 37166_AT	134	3878	18224	1.8236204228984014	0.0017693836096780435	8.850834912322858E-4	0.006970916399851035
GOTERM_BP_ALL	GO:0010941~regulation of cell death	29	20.0	1.3910374375952238E-5	33963_AT, 32717_AT, 33284_AT, 31525_S_AT, 35915_AT, 35367_AT, 1355_G_AT, 35373_AT, 38128_AT, 1910_S_AT, 37711_AT, 32073_AT, 822_S_AT, 33293_AT, 34618_AT, 41280_R_AT, 1974_S_AT, 38236_AT, 1403_S_AT, 41489_AT, 1331_S_AT, 35069_AT, 1786_AT, 40271_AT, 38482_AT, 1890_AT, 31687_F_AT, 40317_AT, 1983_AT	133	1509	16792	2.426384051580243	0.044189034856663034	0.006435647750987816	0.02526742267593418
